Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
27;8;0;22;1;2;1;2;5;0;0;0;0;0;0;0
68;4;5;36;0;6;0;5;17;0;0;0;0;0;0;0
76;0;0;36;0;2;0;6;17;0;0;0;0;0;0;0
49;2;1;31;0;6;0;6;12;0;0;0;0;0;0;0
36;3;0;10;0;24;10;6;0;0;0;0;0;0;0;0
59;0;0;20;2;54;0;0;2;0;0;0;0;0;0;0
108;6;0;25;6;65;7;2;7;0;0;0;0;0;0;0
33;29;0;0;2;22;0;0;0;0;0;0;0;0;0;0
477;56;4;106;5;3;4;84;6;0;0;0;1;0;7;0
311;67;12;94;32;61;12;2;6;0;0;0;0;0;0;0
423;37;9;25;16;69;7;27;27;5;0;1;3;1;6;6
650;64;14;56;16;79;16;55;65;5;1;10;3;10;24;20
547;48;12;157;18;61;14;63;44;4;2;29;1;8;15;11
340;95;8;66;29;81;17;5;16;0;0;0;0;0;0;0
418;70;6;86;31;124;15;31;67;0;0;0;0;0;0;0
428;61;12;78;33;86;4;6;25;0;0;0;1;0;4;6
695;87;19;145;51;86;20;51;64;1;0;28;0;18;16;46
14;1;0;6;0;2;0;1;0;0;0;1;0;0;3;0
13;1;0;11;0;0;1;3;0;0;0;0;0;1;3;0
23;6;0;2;1;0;2;3;2;0;0;5;0;0;0;0
26;20;0;16;1;1;0;0;0;0;1;2;0;1;1;0
260;5;5;34;3;17;4;23;29;0;1;4;0;0;0;0
261;2;3;46;0;1;6;25;14;3;0;16;0;2;4;8
19;1;0;9;0;2;1;2;1;0;1;1;0;0;5;1
35;6;1;24;3;2;2;5;2;0;0;3;0;0;0;1
9;1;0;7;1;1;0;1;0;1;0;0;0;0;0;0
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;6;1;1;0;2;1;0;0;1;0;0;1;0
16;8;0;4;0;0;2;2;0;0;0;0;0;0;0;0
90;13;3;25;3;11;7;1;0;0;0;0;0;0;0;1
197;40;0;79;3;15;6;2;0;0;1;4;0;0;0;1
29;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
318;47;1;61;13;3;5;21;22;0;0;0;0;0;0;2
319;29;1;14;6;38;4;43;32;0;0;1;2;0;0;5
338;18;2;28;11;35;9;46;52;2;1;8;2;6;14;7
950;56;7;187;6;48;8;150;82;3;6;90;1;18;12;33
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;16;8;49;6;18;10;8;13;0;0;0;0;0;0;0
714;85;4;78;17;110;21;120;158;2;0;27;3;3;0;27
869;66;10;109;17;59;16;243;118;4;1;44;3;9;14;40
673;45;7;196;5;51;5;166;65;8;3;72;1;15;8;33
92;8;4;19;1;0;3;11;7;0;0;2;0;0;1;2
17;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0
109;19;1;28;1;0;3;2;13;0;0;0;0;0;0;1
199;20;0;24;1;6;9;35;18;0;0;4;0;0;0;1
115;11;0;12;0;2;4;20;12;0;0;2;0;1;0;0
84;11;0;9;0;2;3;8;7;0;0;6;0;2;4;0
69;11;1;7;2;2;4;14;6;0;0;2;0;1;2;0
22;1;0;2;0;0;1;3;3;0;0;0;0;0;0;0
30;2;0;1;0;1;1;4;3;0;0;1;0;0;3;1
27;0;0;2;0;1;1;3;2;0;0;1;0;1;2;0
26;4;0;0;0;0;1;2;3;0;0;0;0;0;0;0
